Name,RA,Dec,Class,Gmag
WISE J014510.23-662136.0,26.29267885,-66.36000966,Hot,12.589095
WISE J014515.00-763823.7,26.31251675,-76.63992677,Hot,14.094556
WISE J014526.09-734449.6,26.35875729,-73.74711237,Hot,13.855576500000002
SSTISAGEMA J014604.10-735515.4,26.51701706,-73.92097352,Hot,14.580272
WISE J014735.72-735347.0,26.89889045,-73.89639926,Hot,13.627554
TYC 3696-1770-1,26.90971105,58.47989701,Hot,11.065742
WISE J014754.49-792332.2,26.97711648,-79.39230241,Hot,13.776791
WISE J014805.28-732941.7,27.02204518,-73.49493529,Hot,14.033898
 HV 10386,27.07657562,-73.05846869,Hot,14.037071
WISE J014836.63-745057.2,27.15264914,-74.84924342,Hot,13.407267
WISE J014935.96-773020.0,27.39989444,-77.50557952,Hot,14.605257
WISE J014944.09-664750.7,27.43376089,-66.79743179,Hot,13.963107
WISE J015241.17-740430.1,28.17155442,-74.07504071,Hot,14.140987
WISE J015300.96-711608.5,28.25404879,-71.26906138,Hot,14.0064745
SSTISAGEMA J015318.81-735222.1,28.32838694,-73.87282456,Hot,14.002797
SSTISAGEMA J015324.71-740048.2,28.35297632,-74.01340146,Hot,14.274494
WISE J015349.86-735656.0,28.45776153,-73.94889723,Hot,14.484989
BD+61   347,28.54874982,62.55487650,Hot,10.405349
WISE J015441.95-745507.9,28.67476281,-74.91886485,Hot,13.946797
WISE J015539.89-741754.1,28.91624583,-74.29838544,Hot,14.246943
WISE J015608.63-791144.3,29.03600057,-79.19564405,Hot,13.8170185
WISE J015611.18-774550.7,29.04668489,-77.76412012,Hot,14.0905
WISE J015639.28-791503.9,29.16372326,-79.25108501,Hot,14.284314000000002
SSTISAGEMA J015812.69-730450.5,29.55286382,-73.08073776,Hot,14.011554
WISE J015818.37-740051.8,29.57654916,-74.01440751,Hot,13.723542000000002
WISE J015831.43-730638.0,29.63102554,-73.11059472,Hot,12.340726
WISE J015903.19-735612.8,29.76329706,-73.93688970,Hot,13.735434
TYC 4036-733-1,29.85771479,62.76759038,Hot,10.249474
WISE J015954.87-743756.1,29.97860502,-74.63225902,Hot,13.3887415
WISE J020133.31-733244.3,30.38879880,-73.54567484,Hot,14.483144
TYC 3697-1563-1,30.73013731,59.64632527,Hot,10.978493
SSTISAGEMA J020259.71-735857.1,30.74885757,-73.98253065,Hot,13.661041
WISE J020330.96-681941.9,30.87902912,-68.32832084,Hot,12.575813
WISE J020334.60-741101.8,30.89415060,-74.18385102,Hot,14.805385
WISE J020339.93-742154.2,30.91635687,-74.36507257,Hot,13.81374
SSTISAGEMA J020402.49-732027.2,31.01033426,-73.34091489,Hot,13.649922
SSTISAGEMA J020444.07-731459.9,31.18357233,-73.25001073,Hot,13.743513
SSTISAGEMA J020505.48-744634.5,31.27286478,-74.77627171,Hot,13.598239
WISE J020514.09-732257.1,31.30875062,-73.38256209,Hot,13.493569
WISE J020528.00-732041.5,31.36667088,-73.34488349,Hot,13.364927
WISE J020841.95-742358.2,32.17480854,-74.39951333,Hot,13.609264
SSTISAGEMA J020934.40-744508.0,32.39325797,-74.75226184,Hot,13.8494005
WISE J020944.84-734351.0,32.43691225,-73.73084161,Hot,13.70305
WISE J021147.32-721419.9,32.94722782,-72.23886196,Hot,13.682312
WISE J021208.40-724353.0,33.03507089,-72.73141395,Hot,12.804863
SSTISAGEMA J021322.97-740733.2,33.34577008,-74.12591676,Hot,13.796967
WISE J021453.25-734909.2,33.72189366,-73.81922975,Hot,13.501717
WISE J021658.72-732644.9,34.24471882,-73.44582174,Hot,12.206455
SSTISAGEMA J021758.40-731314.3,34.49321994,-73.22069129,Hot,12.677936
WISE J021830.59-733409.3,34.62746813,-73.56927249,Hot,13.433179
WISE J021942.33-722555.9,34.92644091,-72.43218095,Hot,12.857586
WISE J022008.21-731027.4,35.03425627,-73.17429261,Hot,14.026751999999998
 HV 11211,35.20622150,-73.08564909,Hot,13.757372
SSTISAGEMA J022157.68-733019.0,35.49045807,-73.50530342,Hot,14.381075
BD+56   596,35.79841674,57.17214356,Hot,9.455489
SSTISAGEMA J022515.32-733438.4,36.31393896,-73.57733384,Hot,14.142825
WISE J022600.72-713434.0,36.50303730,-71.57611548,Hot,13.963334
TYC 3694-2024-1,36.64111418,56.81645300,Hot,9.500203
