index,oid,ra,dec,designation_01
27232,359208200051447,100.5552011,-10.4981759,Gaia DR3 2954200075246036352
27234,359210100056635,105.3246457,-8.2044601,Gaia DR3 3052332415740633472
27235,359210400055530,105.5538396,-9.2103754,Gaia DR3 3049950697451266176
27237,359211200057338,102.106739,-8.1103598,Gaia DR3 3098733661855250816
27240,359303200066941,102.5319751,-12.5830221,Gaia DR3 2952758856018716288
27241,360101300042678,113.3297,-13.1183102,Gaia DR3 3033423461444792704
27244,360102400003062,112.5031458,-12.8621674,Gaia DR3 3033623847435711616
27479,360106200043559,111.5376867,-10.547645,Gaia DR3 3035272324603561472
27480,360107100042769,110.1581505,-10.5644,Gaia DR3 3046950615560237440
27481,360110300041125,111.5290321,-9.0965311,Gaia DR3 3047709759619976704
27484,360111100042488,110.0804753,-8.5494789,Gaia DR3 3048588509926434816
27492,360112200041422,107.9982057,-8.6189976,Gaia DR3 3051365356604163200
27493,360114200031652,111.0712888,-6.6192925,Gaia DR3 3055023573526078720
27730,360115200041973,109.2571485,-6.2383296,Gaia DR3 3058238476808614400
27731,360116400043211,108.5760067,-7.5191496,Gaia DR3 3051868421831500672
27736,360201200055852,113.4279092,-12.194052,Gaia DR3 3034059494558940672
27738,360203300031498,109.6170595,-13.5329265,Gaia DR3 3032738431339708800
28442,360204300059880,107.8687495,-13.0706874,Gaia DR3 3044641847298924800
28445,360212400059643,108.9332244,-9.3228614,Gaia DR3 3048077305739640704
28496,360216200055983,107.7598876,-6.94842,Gaia DR3 3052149175254285696
28497,361101400031238,121.1198944,-13.135918,Gaia DR3 5726001131464550144
28502,361203400045504,117.3672392,-13.3530052,Gaia DR3 3035741712986200832
28505,362202400038862,126.2539084,-12.7644234,Gaia DR3 5724008575871798400
28509,375111200030748,215.6802377,-8.2467744,Gaia DR3 6329615732158870016
28511,381105300074204,261.5743321,-10.9947462,Gaia DR3 4165963456443515520
28512,381105400043050,262.745342,-11.1848819,Gaia DR3 4162998722117660672
28687,383102100113902,274.5424691,-12.1815428,Gaia DR3 4153661020882957440
28688,383102200042816,273.8071377,-12.5374429,Gaia DR3 4153543098233458176
28689,383205300155333,276.0837306,-10.8095999,Gaia DR3 4154232835623350656
28696,383302100143284,275.0734364,-12.1706485,Gaia DR3 4153614871414364288
28718,384102100168013,281.7744975,-12.1391823,Gaia DR3 4105954757544974848
28720,384107100158747,280.1323027,-10.7167724,Gaia DR3 4107099624025718400
28722,384110400183486,281.8521888,-9.3094618,Gaia DR3 4203391652582474752
28723,384114200170132,280.7949615,-6.5173582,Gaia DR3 4253179192782416640
28724,384205300132565,283.0710067,-11.631353,Gaia DR3 4106052201769027072
28847,384214200176823,280.7203106,-6.4795195,Gaia DR3 4253183212871841664
28851,384214200186986,281.0870867,-6.8641068,Gaia DR3 4253111126129863808
28871,384214200190899,280.7613954,-6.3469026,Gaia DR3 4253378135614673536
28884,384214200191133,280.8661861,-6.4879434,Gaia DR3 4253185205737813760
28945,384304100192875,277.8479886,-12.3370114,Gaia DR3 4153036566972168576
28947,384309400151865,283.4855674,-9.3698263,Gaia DR3 4203240852063111424
28949,385109300074358,289.9362683,-9.007245,Gaia DR3 4201350963313323904
29172,385202200147101,288.2220226,-12.580166,Gaia DR3 4198024528325070592
29173,385204300188402,284.641453,-13.3658531,Gaia DR3 4102389831588565120
29218,387107400041282,301.2746231,-11.5976018,Gaia DR3 4190636669164572928
29228,405316300005387,61.7229614,-0.435913,Gaia DR3 3253821426215252992
29246,408103200013322,84.4751545,-4.8137564,Gaia DR3 3023415294281663104
29257,409103200027696,92.1114577,-5.3394634,Gaia DR3 3020930599863999488
29260,409105100034400,96.7071888,-3.3259084,Gaia DR3 3116701670417690496
29462,410101200016218,102.1024716,-5.4585661,Gaia DR3 3101943445534625792
29730,410103100045318,100.0083996,-4.6986335,Gaia DR3 3103779664311460608
29731,410107400030535,99.7542361,-4.383942,Gaia DR3 3103996199381924224
29917,410109100045873,103.1830562,-1.4326487,Gaia DR3 3112293522142593920
30131,410114100040673,101.1952683,0.222897,Gaia DR3 3125506151511957120
30132,410114100040693,101.0519106,0.7254873,Gaia DR3 3125597681559414784
30133,410115100006758,99.5571696,0.7366976,Gaia DR3 3119828097371908992
30401,410202200023503,100.9598132,-5.3021949,Gaia DR3 3100685123196031616
30817,410209200057666,102.8576502,-1.3293819,Gaia DR3 3112345066051575168
30818,410213200055855,102.3520859,0.7340077,Gaia DR3 3113635617823166080
30819,410213400055146,103.0446731,-0.2953708,Gaia DR3 3113277378890051456
30821,410214100052887,101.1678531,0.2575486,Gaia DR3 3125518039984467328
30822,410301300009860,102.1543109,-5.7231972,Gaia DR3 3100422271197119488
30861,410313200020583,102.3726834,0.5971454,Gaia DR3 3113620293380843008
30900,411101400039640,110.3962118,-5.8981764,Gaia DR3 3058192091158985984
30905,411102300047091,107.4694594,-5.7355615,Gaia DR3 3053143752242428928
30909,411106200044777,107.6614347,-2.8323215,Gaia DR3 3108331642452807168
30910,411107200045034,105.6519319,-3.5360242,Gaia DR3 3107860192481074432
31017,411107200045398,105.5507056,-3.2731274,Gaia DR3 3108624490503271168
31019,411108200043832,104.0035857,-3.1746921,Gaia DR3 3102870363897445504
31027,411108400038397,104.465818,-3.762987,Gaia DR3 3102631602375346304
31028,411111100045616,107.01446,-0.9398131,Gaia DR3 3109605220512646272
31063,411112400044633,105.1195315,-2.3396306,Gaia DR3 3108953107039245440
31064,411115100044363,106.4901205,0.4341963,Gaia DR3 3114314497533201664
31066,411209200052488,109.2587882,-1.5186486,Gaia DR3 3110028463771676672
31067,411209300051794,109.5465199,-1.7195897,Gaia DR3 3109822167904956928
31071,411209300051865,109.4619658,-1.9794628,Gaia DR3 3109808286570853888
31096,411303200024317,105.7944217,-5.1490056,Gaia DR3 3101360807453133824
31128,411307100062319,106.9552705,-3.3710144,Gaia DR3 3107910288981310848
31136,411312300019653,103.7336058,-2.1433456,Gaia DR3 3106005591242483712
31139,412103300042545,112.9505681,-5.583053,Gaia DR3 3055589027437658240
31142,412106400027488,115.6760623,-4.138476,Gaia DR3 3057442980138554880
31280,413103100033269,121.0401345,-4.8249871,Gaia DR3 3067888271884560384
31290,414314400004887,130.1261635,-0.2125978,Gaia DR3 3075141475211375232
31319,425110300030567,206.8317497,-2.4454846,Gaia DR3 3658279080593824768
31320,430110400033076,243.1923142,-1.7220362,Gaia DR3 4405589130813654144
31321,434112300066153,267.1555705,-2.1946487,Gaia DR3 4370750383333397760
31323,435101100074519,280.8776621,-5.4660584,Gaia DR3 4253587317719659904
31601,436102200170660,285.1898335,-5.0704429,Gaia DR3 4254341685731583104
31602,436104300156881,281.3879104,-5.8448272,Gaia DR3 4253511898097770368
31605,436104400176884,281.6403065,-6.0537998,Gaia DR3 4253305464801121408
31606,436104400179784,281.896325,-6.307578,Gaia DR3 4253247667320797952
31607,436115300089782,283.3940724,-0.5600812,Gaia DR3 4266175656313848192
31633,436202400195192,285.7987776,-6.1611893,Gaia DR3 4206152977294739456
31635,436204300029889,281.2926255,-5.9970532,Gaia DR3 4253321162806983552
32478,436207400180540,283.4899734,-3.8124536,Gaia DR3 4255636768647153536
32481,436303100017577,284.1410422,-4.9664084,Gaia DR3 4254206510178791424
32606,437112200033461,287.9057249,-1.3661422,Gaia DR3 4262272046441893632
32871,437113300016212,293.7218025,-0.0911475,Gaia DR3 4239339090052622976
